index,document
"CASE 18","48 CASE 18
Mrs. J., 65, an active, spare, energetic woman. Always well. For
two years has noticed some dyspnoea on exertion. Two weeks ago had
an attack of dyspepsia with dizziness. This evening she ate a heartysupperof chopped codfish andpotatoes warmed up in pork fat. Immediately
afterwards she started out fora walk. After walking about quarter
of
a mile she noticed dyspnoea, which rapidly increased to great distress.
On reaching a friend’s house she had barely strength to enter.
When seen twenty-five minutes later, the patient was sitting up
propped by pillows. Respiration was from 30-40 times per minute,
and accompanied by a loud rattle in the throat. The larynx moved
violently up and down. No pain anywhere. The face was drawn and
blue, nose pinched, hands and fingers purple, skin cold and clammy.
‘The earotids were throbbing strongly, the heart beating tempestuously
—140 times per minute. The lungs were full of coarse, medium, and fine
rales up to the second rib on each side. Owing to the noisy breathing
no definite information could be obtained regarding the cardiac valves.
1. Significance
of therattleinthe throat? Tracheal rales occur whenever
inflammatory or dropsical fluid accumulates in the trachea, owing to comaor
to weakness
which renders the patient unable to raise and expectorate or
swallow
the fluid. Itis a bad sign, because it means either verydeep (and
therefore serious) coma, or very severe prostration.
2. Significance (a) of throbbing carotid; (b) of othercervical pulsations? (a) Throbbingcarotids
mean violent heart action, low arterial tension, or both. They
are seen in cardiac hypertrophy from any cause, especially in aortic regurgita~
ion, in nervous persons, and in marked anaemia. (6) Aneurism,
normal
subclavian artery crossing a cervical rib, the normal (diastolic) undulation of
cervical veins, and the systolic venous pulse of tricuspid leakage shouldbe
remembered.
3. Whatfurther
data should beobtained at once? Thestrength
and rhythmof,
the pulse (far more important than its rate), the temperature, the urine.
4. Howis the prognosisinfluenced by the mode of onset here? Such symptoms
arising without assignable cause are more serious than their appearance after
(probable) indigestion and exertion as here.
5. Evidence against pneumonia here? The onset without chill or pain; the cardiac
origin of symptoms; the absence of fever, and of signs of solidified lung.
6. Diagnosis? Prognosis? Treatment?
Diagnosis: The lung signs are those of pulmonary adela due to weak heart
action, such as is often brought on by slight indigestion and exertion in an
elderly person whose myocardium is weak. Bronchial asthma might produce
similar pulmonary signs, but practically never occurs at the age of 65 in a
personpreviously well. Renalasthmararely has so suddenanonsetwithout
previous evidences of urmia, dropsy, or cardiac weakness.
Prognosis: Dubious. Death may occur within a few hours. She will probably
get over this attack and succumb later to increasing heart weakness.
Treatment: Absolute rest; vigorous subcutaneous cardiac stimulation (musk,
strychnia, nitroglycerine); encouragement."
"A middle-aged man was seen writhing in intense pain referred to","A middle-aged man was seen writhing in intense pain referred to
the epigastrium. Vomiting of greenish fluid took place; there were
loose discharges from the bowels, small in amount. This state of things
lasted, with only short remissions, for two days, until a small dose of
morphia (which, for special reasons had been hitherto withheld, though
asked for) was administered, after which there was complete relief for
many days. The pupils were dilated, the pulse regular and of normal
character. Nothing special had been eaten or drunk to cause irritation
of the stomach. The abdominal walls were neither distended nor
retracted, no intro-abdominal tutor was detected, nor was there
excessive tenderness on pressure. It was afterwards learned that he
had had several such attacks, that for many months or years his legs
had been weak, that he had had neuralgia and numbness in them.
1, What further examinations should be made? Pupillary reactions, knee-jerks,
temperature, heart, lungs, blood, and urine are the most important.
. If you had seen such a case for the first time, what treatment of the acute symptoms should you advise? Morphia subcutaneously.
. Significance of the vomiting of greenish fluid? Violent or prolonged vomiting
from any cause, e.., from seasickness, squeezes bile into the duodenum whence
it regurgitates into the stomach and is vomited.
Diagnosis? Prognosis? Treatment?
Diagnosis: The epigastric pain is probably not inflammatoryinorigin (peritonitis),
since there is no excessive tenderness or rigidity, and a small dose of morphia
gives relief for many days. Lead colic is not often associated with diarrhoea,
while the pulse usually shows increased tension. Evidences of plumbism and
the possible sources of lead should be searched for. Biliary colic cannot be
excluded without further evidence. A history of jaundice and of radiation
of pain to right scapular region should be sought for.
‘The weakness, pain, and numbness of the legs suggest either neuritis (perhaps
due to lead) or takes. Examination of the pupils showed no reaction to light,
although the reaction to distance was normal. ‘The knee-jerks were absent and
Romberg's symptom present. The acute epigastric pain was explicable as
a gastric crisis in takes dorsalis. Morphia had been withheld because the
patient had in previous years narrowly escaped the habit. No evidence of
lead or of gall-stones could be obtained. Other causes of epigastric pain of less
severity than that here described are gastric ulcer and hyperchlorhydria (in
which the pain has more obvious relation to food than in this ease), malaria
(periodic pain with fever), castro-enteritis, in which the shifting of the pain
and its relation to food and to bowel movements are usually obvious.
Prognosis: Most cases of takes live many years and gradually get worse. Arrest
is possible but rare; cure is impossible.
‘Treatment: Potassie iodide and mercury should be given, though they are
rarely of service. By re-education (Frenkel) the patient’s muscles may be
again brought under control to a remarkable extent after ataxia appears.
Hot baths and analgesic drugs are used for the crises and pains."
"CASE 20","52 CASE 20
‘A married woman, aged 27, is seen June 7. Both parents died of
consumption. She has always been well except for an attack of
rheumatic fever three years ago. Has had four healthy children, the
youngest six months old. Her oldest child was taken with convulsions
on the night of June 2 and died twelve hours later. “After his death
she seemed dazed and became delirious, but had intervals of apparent
consciousness up to 6 P.at., when she complained of pain in the back
of her neck and began to vomit. Vomiting was frequent and persistent
until the following evening. She has remained unconscious since the
evening of the 8d. Yesterday morning her hands and feet appeared
swollen and inflamed. Her temperature has varied between 101° and
102.5° and has been irregular. Her pulse is 120, respiration 30. She
is delirious, and does not appear to realize her surroundings. Both
knee and ankles, the back of the left hand and the metacarpo-phalangeal joint of the right index finger are red, swollen, and tender. ‘There
is redness over both patella. The muscles of the calves and thighs
are tender. The neck is somewhat stiff, the pupils dilated, and there
is divergent strabismus. The knee-jerks are not obtained. Except
fora few moist rales at the bases of the lungs physical examination
otherwise negative. The white cells number 29,400. Urine, sp. gr.
1030, acid, albumen very slight trace, sugar a trace. Sediment
contains occasional hyaline and fine granular casts and a rare abnormal blood globule. ‘The amount is 500 c.c.
1. What changes might be revealed by ophthalmoscopic examination? Optic
neuritis, choroid tubercles (very rare).
2. Discuss the urinaryanomalies in this case? Passive congestion and theacute
degeneration resulting from any infectious fever are the commonest causes
of such urine. The glycosuria is probably due to cerebral irritation.
‘What are the most important types and causes of arthritis? (See above, Case 3.)
‘Name three causes of strabismus? Congenital, tuberculous meningitis, syphilis.
‘What tests would simplify the diagnosis? Spinal puncture, ophthalmoscopy.
Howis the vomiting to be explainedin this case? ‘The onset of an infectious
disease. Other causes of vomiting may here be discussed.
Diagnosis? Prognosis? Treatment?
Diagnosis: At autopsy tuberculous meningitis and general miliary tuberculosis
were found. The family history, the sudden onset of fever, coma, delirium,
retraction of the neck and strabismus, make this diagnosis obvious. ‘The pains
in the peripheral joints and muscles are to be explained as a part of the
general infectious process, though in all probability no gross tuberculous lesions
were present there. The type of meningitis would be revealed by spinal
puncture.
Prognosis: Probably early death. Recovery is practically impossible here.
Treatment: To prevent bed-sores, maintain nutrition, and relieve headache
(should it occur) by lumbar puncture and morphia, are the chief indications.
eye"
"CASE 21","oA CASE 21
A painter, 23 years old. Family history negative. General health
always good. Clap eight months ago, a slight mucopurulent discharge
still persisting. Seven months ago had an attack of colic, lasting three
or four days, similar to his present trouble, but less severe. Bowels
move once daily without medicine. Seven days ago began to have
cramps which have grown rapidly worse since and have been only
partially relieved by large doses of morphia and atropine. The abdomen at first was generally tender, especially just to the right of the
navel. The bowels have been constipated from the start, in spite of
repeated doses of salts and enemata. Very little gas passes per rectum.
Has vomited three times, the vomits containing nothing of note.
Physical examination shows a poorly nourished man, suffering
acutely from general colicky pains in abdomen. Expression pinched,
anxious. No jaundice. Faint blue line on gums. Radial arteries
slightly thickened. Heart and lungs normal. Abdomen distended,
and tympanitic. Between the attacks of pain no marked tenderness:
is elicited even on fairly deep pressure. The distended, moving coils
of intestine are visible through the thin walls, which are somewhat
rigid everywhere. The finger high up in rectum strikes a tender point
a little to the right of the median line. The pulse is small, 120, and
has been steadily rising. The temperature, taken only during the past
five days, has never gone above 99°. Urine scanty, high coloured, acid,
sp. gr. 1026. No sugar, no albumen. Sediment negative. Leucoeytes
five days ago 35,000, now 19,000.
was of oliguria? Obstruction (prostatic, cancerous, or calculus),
infectious fevers, starvation (including pyloric obstruction with
gastric dilatation), vomiting, diarrhoea, sweating, low protein diet, hysteria
How does the temperature record influence our diagnosis here? By itself it
would incline us to believe that no inflammatory process is going on.
3. Significance of the leucocytosis here present? Uncomplicated plumbism never
produces such a leucocytosis; intestinal obstruction rarely if ever raises the
‘count to 35,000. A focus of inflammation is probably indicated.
4, Have the thickened radials any connection with the other symptoms of this
ease? Lead poisoning the patient certainly has. Lead is said to produce
thickening of the arterial walls.
5. What organs and tissues are injured in plumbism? ‘The gums, the blood, the
nerves supplying the extensors, the brain, the arteries, the kidneys, the gastrointestinal tract (colic, constipation).
6. Diagnosis? Prognosis? ‘Treatment?
Diagnosis: Operation showed general. peritonitis due to appendicitis. The
purgation probably did great harm. The obvious presence of plumbism
led to a disastrous mistake in diagnosis.
Prognosis: Very grave,in view of the absence of any evidence of localization.
‘Treatment: Immediate surgical interference."
"A lawyer, aged 68, has always worked hard, and for the past three","A lawyer, aged 68, has always worked hard, and for the past three
years had great anxieties and no vacation. He had typhoid fever
twenty years ago and obstinate sciatica two years ago, since which
time he thinks he has lost weight. He smokes a good deal and drinks
wine in moderation. He now complains of dyspepsia (without vomiting), constipation, dyspnoea, impaired vision, and pain in the right
shoulder. For at least ten years he has looked pale. Now he looks
very pale, and sallow. The tongue is clean, the pulse soft. and regular.
At the apex, which is in the fifth space in the nipple line, there is a
faint systolic murmur, transmitted a short distance to the left. The
pulmonic second sound is accented. No enlargement to the right. At
the base of the lungs, posteriorly, moist rales are heard on full inspire~
ion. The liver is not enlarged. ‘There is moderate tenderness in the
left, epigastrium. On bimanual examination, a rounded mass can
be felt, moving with respiration, about three inches below the right
costal border.
The urine contains about yy per cent albumen and a few hyaline
and granular casts, some of which display little fat and crystals of
uric acid. The total amount in twenty-four hours is one quart, with
a specific gravity of 1015. The blood shows no leucocytosis. Red
cells very much reduced in number. The painful shoulder presents no
objective peculiarities.
1. Significance of rales? Rales mean fluid in the bronchioles. They are due to
bronchitis (‘‘simple”” or tuberculous), asthma, pneumonia, atelectasis (inflammatory or dropsical), and oedema of the lung.
2. What further information about the rounded masses desirable? Size, shape,
surface, consistency, tenderness, dullness, relation to liver, relation to inflated stomach and colon, general mobility.
3. What other portions of the examination are insufficiently described? ‘The blood,
lungs, eyes, and urine.
4. How do you interpret the presence of uric acid crystals in the urine? ‘They
have no known significance unless massed to form calculi.
5. Diagnosis? Prognosis? ‘Treatment?
Diagnosis: The objective signs are an abdominal tutor, anglia, and renal
irritation. Cancer of the stomach or gut, chronic nephritis, and pernicious
anwmia are the possibilities most deserving further study. ‘The mass might
be a distended gall-bladder. It showed, however, when palpated in a warm
bath (discuss its use), all the characteristics of a displaced normal kidney.
‘The blood showed 1,000,000 red cells, a low white count and high color index,
with abundant megaloblasts. ‘The aortic second sound was never accentuated
and the urine never presented the full picture of any type of nephritis.
‘The rales in the lungs were doubtless due to oedema; the heart murmur was
“homie.” Retinal examination showed haemorrhages. ‘The diagnosis of pernicious anaemia was later confirmed at autopsy.
For Prognosis and Treatment, see above, Case 4."
"CASE 23","58 CASE 23
Man, 50 years old, a hard drinker, except during the past year.
No family history obtained. For two or three years he has had pain
after taking food, occasional vomiting and progressive loss of flesh and
strength. For the past eight or ten weeks he has complained of frequent and severe pain of a “stretching” character in the right hypochondrium, without much tenderness there. For the last two weeks
he has been deeply jaundiced. For a week he has been confined to
bed and is emaciated and prostrated. His nights are disturbed by
pain. The liver is greatly enlarged, hard, irregular, and modulated,
the lower edge reaching to the anterior spine of the ilium; it also
extends to the left of the median line about two inches. It is
slightly tender. ‘There is little or no ascites. Pulse 92; temperature
98.5°.. Urine rather scanty and very dark. No itching of skin.
1. What diseases can produce emaciation with jaundice? Gall-stones and their
results, cancer obstructing the biliary passages, syphilis of the liver, cirrhosis,
septicwmia (toxsemic jaundice).
2. Common causes of hepatic enlargement? Passive congestion, biliary obstruction from any cause, fat, cirrhosis, cancer, rickets; rarer causes are abscess,
Jeucwmia and pseudoleucemia, cholangiitis, amyloid, and hydatid disease.
3. What importance would there have been in a good family history? None in
this case. (The diseases in which the family history és of value may here be
emphasized.)
4. Diagnosis? Prognosis? Treatment?
Diagnosis: Gastrie symptoms, nodular hepatic enlargement with severe pain,
‘emaciation and jaundice, and without evidence of portal stasis (ascites, etc.),
point strongly to cancer of the liver, probably secondary to gastric cancer.
‘The history of alcoholism and the hepatic enlargement suggest cirrhosis, but
there is rarely if ever so much pain in cirrhosis (or indeed in any liver disease
except cancer), and the “hobnail”” of cirrhosis are not large enough to make
the liver feel “irregular and nodular’? through the abdominal wall. ‘The
absence of ascites is also against cirrhosis. Syphilis of the liver might produce
all the signs described and an only be finally eliminated by the therapeutic
test, but the amount of pain here present is almost unknown in syphilis a1
the amount of hepatic enlargement is very unusual.
Prognosis: Hepatic cancer usually kills within a year of the discovery of its
presence.
‘Treatment: The relief of symptoms as they arise is all that an be hoped for if
the diagnosis is correct, but: in all eases of hepatic cancer KI should be given
in doses of 10 to 30 grains daily until it is proved to be valueless. I have
known a patient die of hepatic syphilis untreated, because her physician was
sure that it was cancer and had given up hope. ‘The same is true of cirrhosis.
All cases should be given KI and the benefit of the doubt whether our diagnosis is correct. ‘The itching which may torture the patient in such cases
should be treated by alkaline baths or washes, dilute carbolic washes, or vaseline."
"‘A tall boy of 19 is brought to the physician’s office by his mother,","‘A tall boy of 19 is brought to the physician’s office by his mother,
who states that for ten years he has had trouble with his head and with
his bladder. Usually he has to pass water every two hours in the daytime. This summer while he was in the country the intervals were
longer, three or four hours, and his headache did not trouble him,
but since the autumn the headache has returned. It is in various
parts of the head, and goes and comes.
‘The urine is sometimes turbid, but never hurts him during micturition. Masturbation was rather frequent six years ago, but has not been
practised since, he says. His father’s sister and his father’s aunt died
of “softening of the brain,” and his mother is anxious about his mental
condition. Appetite, digestion, and sleep good. Bowels regular.
Examination shows a rather shame-faced, neurotic boy, very tall
for his age. Visceral examinations negative. Blood normal. Urine
1026, slightly high coloured, very acid, no shreds. No albumen, no sugar.
1. What are the bad effects of masturbation? In many cases there are no demonstrable ill-effects whatever. In a few cases the youth seems to be debilitated
by it. ‘That it ever produces brain disease is very unlikely. It is a symptom,
not a cause of mental enfeeblement. In many boys a neurosis is produced
by the shame and remorse associated with it and by fear of its terrible consequences as they are (quite falsely) delineated in quack newspaper advertisements
or by friends and parents. ‘This neurosis entails insomnia, anorexia,
constipation, emaciation, and may thus bring about a pitiable condition.
2. Common causes of frequent micturitionin youth? Nervousness (especially in
girls), hyperacid urine, the irritation of a phimotic foreskin or of retained
smegma, gonorrhoea, cystitis, diabetes (either type).
3. Diagnosis? Prognosis? Treatment?
Diagnosis: When a headache recurs in the autumn (when school begins) after
disappearingin summer, eye-strain should be suspected and looked for. In
this case it was found and under proper treatment greatly improved. Maternal anxiety doubtless contributed considerably to the boy’s symptoms in
this as in so many other eases, and by reassuring her a good effect was produced upon the boy. ‘The urinary trouble seemed to be due to hyperacidity;
improved rapidly under the administration of sonic bicarbonNone of the other causes of frequent micturition mentioned
above were found in this ease.
urine, and an overanxious mother were apparently the
causes of his trouble.
Prognosis: With removal of these hindrances to normal development the boy
should rapidly regain his health. No doubt he has outgrown his strength
and owing to this fact he will need some years to attain visor.
‘Treatment: ‘The essentials have been mentioned already. Beside correcting
his eye troubles, modifying the acidity of his urine, and reassuring hi:
mother, one should encourage him to outdoor life, early hours, and nutritious food. No drugs seem indicated."
"CASE 25","62 CASE 25
‘A lawyer of 47, of good family history, and previous health, had
for many years complained of dyspepsia. He had been noticed to be
losing flesh for three or four months and to have grown pale. Frequent headaches, weakness, and shortness of breath on exertion, have
troubled him. An oculist whom he consulted referred him to his family
physician, who found pallor, diminished eyesight, fullness of eyelids, increased pulsation in the neck, dyspnoea, and exaggerated heart action.
‘The apex was in the sixth interspace, mammary line, ‘The heart
sounds were loud, and the valvular sounds at the base were accentuated;
respiratory sounds at the base of the right chest behind were lessened,
and numerous fine moist rales could be heard in lower portions and in
the anterior margin of each lung. Abdomen negative. There was
swelling of feet and ankles, and the patient stated that at times his
hands seemed larger than usual. Urine 1011; pale. Albumen, a trace.
Granular and hyaline casts, and fatty elements were found in considerable number. The patient also mentioned cough, with thin, frothy expectoration, and that of late micturition at night had annoyed him, and
that the quantity of urine voided in twenty-four hours was increased.
Within three months there was gradual change for the worse, and
after a day of considerable exposure he had a chill, severe headache
and oliguria. He was found in bed unconscious, on the third day
after the chill, and died on the following afternoon.
|. Whatwasthe condition in the lungs? (Edema
of both;right hydrothorax.
. Causes of diminished respiration below the right scapula? Effusion (inflammatory or dropsical), thickened pleura, solidification (pneumonic, tuberculous, cancerous), atelectasis, enlargement or upward displacement of the live
3, Causes of painless swelling of both hands? Nephritis, hot weather, trichiniasis,
obstruction to the superior java.
4. Significance of frequent nocturnal micturition? Prostatic obstruction, chronic
nephritis, nervousness (in women).
5. (@ Causes for accentuation of the aortic second sound? Arterio-sclerosis,
ancurism, high tension in the peripheral arteries (nephritis; excitement).
(@) of the pulmonic second? Obstruction in the lungs due to mitral disease,
pneumonia, any chronic lung trouble, pleurisy, and thoracic deformities.
6. Diagnosis? Prognosis? ‘Treatment?
Diagnosis: Autopsy showed chronic interstitial nephritis, cardiac hypertrophy
and dilatation, general oedema. Death from urmia. Retinal haemorrhages
had been found by the oculist.
Prognosis: After retinal haemorrhages are found patients seldom live a year.
Otherwise the duration of life is difficult to predict. It depends on the
patient’s ability and willingness to undergo proper treatment, the response
of his organs to such treatment, and the occurrence of complications.
Treatment: Good hygiene with the avoidance of strain and worry; dry warm
climate, such as Egypt; sweating and purgation each once or twice a week;
restriction of liquids and replacement of table salt by sodium bromide.
pe"
"CASE 26","64 CASE 26
‘A boy, 14 years old, of gouty family history, complains for a year
of frontal headache, not very severe but persistent and wearing. Appetite excellent, but digestion not as good as it has been. Has grown
suddenly very irritable, having been previously sweet-tempered. He
has lost flesh during the year and seems listless and weak. Sleeps well.
Bowels somewhat costive. Getting pale. Heart, lungs, and abdomen
negative. Knee-jerks not easily obtained, but gait shows only weakness. Urine normal color, acid, 1028, no albumen. Sediment negative.
‘Temperature 98°, pulse 96. No adela. Blood negative.
1. What possible causes for the change in disposition? Masturbation, psychosis
of puberty, brain tutor, diabetes.
2. Causes of frontal headache commonest at fourteen? Eye-strain, adenoids,
frontal sinus disease, malaria, pubescence.
3. Significance of pallor both in general and in this ease? Pallor may mean anaemia,
but often does not. Deficient skin circulation, congenital or acquired (stokers,
residents in the tropics), is a more frequent cause. Many consumptive and
many neurasthenies are pale, but few are anomie. Nausea and faintness
produce local anaemia, and of course without blood change. No diagnosis
of anaemia is justified until the physician has seen the color of a drop of blood
on filter paper (Talquist scale) or on a handkerchief. In this case no anaemia
was present.
4. Diagnosis? Prognosis? Treatment?
Diagnosis: The careful student of this case will notice first of all the loss of
flesh despite good appetite. This, with the persistent headache and diminished
knee-jerks, are the obvious physical signs. Eye-strain, adenoids, malaria,
masturbation, were easily excluded by examination and watch Further
questions revealed the fact that micturition was frequent and copious. This,
with the loss of flesh despite good appetite, suggested diabetes, and the urine
was found on examination to contain sugar — (a point omitted in the examination of the attending physician and therefore omitted in the above description
of the case). As the glycosuria proved persistent, the diagnosis of diabetes
mellitus was made. No acetone or diabetic acid was found in the urine at
this time. ‘The sugar was 5%; urine, three quarts in twenty-four hours.
Prognosis: In a thin boy of 14, a few years of life is all that canoe expected. ‘The response to diet, the presence or absence of acetone bodies in
the urine, the weight-curve, are the important factors in prognosis. When
weight is lost id glycosuria persists despite careful regulation of diet, the
outlook is us. Whenever acetone bodies are present in the urine
coma is threatened.
‘Treatment: A diet of fat and protein sufficient in malory value, and excluding
at first all carbohydrates,is the indication. If this banishes sugar from the
i should be persisted in for two or three weeks, provided no acetone
appears and provided weight is maintained or increased. At the end of that.
time, if all goes well (or sooner if it does’t), one or another carbohydrate
(bread, oatmeal) in measured quantity should be given, noting the effect on
the glycosuria, the acidity, and the weight. A small amount of milk and

CASE 26—Continued
fruit may be tried either before or after this if all goes well, and following the
three indications above mentioned we cautiously experiment with different
amounts of carbohydrate food — resting the sugar-burning function from time
to time by a day of complete starvation (in bed with bouillon only) or a few
weeks of fat-protein diet. ‘To increase fats (butter, cream, cheese, salad-oil,
bacon) is as important as to exclude carbohydrates. No food —not even
meat —is to be allowed in unlimited quantity. Saccharine replaces sugar as
a sweet. If appetite fails, give fruit until it returns. Moderate exercise
distinctly beneficial even in severe cases. In adults small quantities of alcohol
may be used to increase the malory-value of the blood and help the digestion
of fats. Drugs (except for constipation, insomnia, eye.) are valueless. In.
fat old patients all the above rules are to be applied in a modified form, A
restriction of carbohydrates often suffices."
"CASE 27","68 CASE 27
Young salesman, always well till present illness. Family history
good. Worked hard last winter and worried. Frequent headaches,
indigestion, insomnia. Feeling poorly for several weeks, especially at
end of day, but has worked until week ago; since then, on sofa and in
bed. Chief complaints, weakness and pain in left chest. Two chills
this week; slight, dry cough; no nosebleed. Bowels constipated and
appetite poor.
Physical examination: Fairly nourished, tongue coated, expression
bright, no enlarged glands. Heart shows musical systolic murmur at
apex, heard in axilla and back; action slightly irregular; no enlargement.
Pulmonic second sound normal. Lungs negative, except over seat
of pain in side, where was heard a harsh sound synchronous with respire~
ion for a few breaths and then not heard again. Abdomen shows
dullness in both flanks, which, however, shows but little shift with
change of position. Liver dullness from sixth rib to rib-margin. ‘The
spleen is not palpable, splenic area tympanitic; knee-jerks lively.
‘Temperature 99-102°, swinging up in the afternoon. Pulse 100-110.
No sputa; urine negative.
Blood examination: Reds, 3,200,000; whites, 4000; Hb., 40%.
1. When a patient’s chief complaint is weakness, what diagnoses should be considered? Anwmia, bad hygiene, typhoid, nephritis, endocarditis, myxcedema,
tuberculosis
2. Name five common causes of pain in the left axilla. Dyspepsia, pleurisy
(“simple,” pneumonic, tuberculous), intercostal neuralgia, muscular pain,
hypertrophic spondylitis.
3. How should the cardiac murmur be interpreted in this ease? Musical murmurs,
widely transmitted, usually mean endocarditis (acute or chronic), but in the
absence of any demonstrable cardiac enlargement or accentuation of the
pulmonic second sound, the murmur may possibly be “functional.” Suspend
judgment.
4. What adventitious thoracic sounds are most likely to be fugitive, as in this
case? Rales, especially musical rales, friction sounds, pleural or pericardial.
5. Significance of the leukocyte count in this case? It makes septic endocarditis
or any other form of sepsis very unlikely.
6. General significance of normal or subnormal leukocyte counts? Their presence
in typhoid and malaria makes them very valuable in eases where either of
these diagnoses is being balanced against a possible pneumonia, meningitis,
or septicwmia, Primary ananias have normal or subnormal leukocyte count
some secondary anemias show leucocytosis. Most eases of abscess (append
liver, eye.) raise the leukocyte count. Most eases of cancer and uncomplicated
tuberculosis do not.
7. Diagnosis? Prognosis? ‘Treatment?
Diagnosis: Continued fever with chills, anaemia, signs suggesting endocarditis
and dry pleurisy, possibly fluid in the peritoneum, and a low leukocyte count

CASE 27—Continued
are the essentials of this case. Typhoid, malignant endocarditis (with or
without a primary focus elsewhere), malaria and tuberculosis (pleural, peritoneal) are especially to be considered. The question of malaria can be
settled by blood examination. Neither malaria nor typhoid will account
for the physical signs in the chest or abdomen. ‘The Widal reaction should be
tried. Against septic endocarditis is the leukocyte count and the absence of
embolic phenomena. Blood cultures should be made. In favor of tuber-
‘culosis are the physical signs (apparently) of dry pleurisy and of fluid in the
belly (perhaps prevented by adhesion from shifting). ‘This diagnosis was
further supported by the negative blood cultures, the absence of a Widal
reaction, and of malarial parasites. Operation showed it to be correct.
Prognosis: About one half the recognized cases recover in the course of many
months, with or without operation.
‘Treatment: If, under treatment similar to that given in phthisis, the patient
does not improve, surgical intervention is advisable and often proves curative. It should not, however, be advised in every case until the failure of
hygienic measures is proven."
"CASE 28","72 CASE 28
‘A broker of 26, moderately alcoholic, but with no venereal history.
Has always been well. Been under a surgeon’s care for last three days
for “grippe” and taken whisky and ammonol. On the third day,
Saturday, he took two whiskies and went to ride. The horse shied
and threw him. His head struck on a rock, just above and in front
of the right parietal eminence. Coma for ten minutes; after being
carried home he vomited and complained of pain in the occiput and
numbness of the right hand. Temperature 104°, the pulse 90. Next
morning it was 103°, next evening 103.8°. Monday it was 102°,
pulse 85. The bowels have not moved. Patient has regained consciousness, but is still dazed. There is no evidence of fracture or
suppuration anywhere, but there is numbness along the ulnar side
of the right hand.
‘Seen Tuesday; very bright, sat up strongly in bed to shake hands.
Laughed and talked, wants to get up, but temperature still 102°.
. What are the objections to giving ammonol in this case? It is a nostrum.
. What should you expect to find in this patient's urine? High color and specific
gravity, small amount, albumen a trace, a few hyaline and granular casts.
3. What facts justify the statement: “There is no evidence of suppuration anywhere?” ‘That the classical signs of inflammation (redness, heat, swelling,
tenderness, and pain) are absent; that leucocytosis is absent.
js? Prognosis? Treatment?
‘The coma, the occipital pain later on, the vomiting and numbness
along the ulnar side of the right hand, suggest intracranial trauma; but we
note that the peripheral numbness is on the same side as the (supposed)
brain injury. By contrecoup it is possible to injure the left side of the brain,
but hardly possible to injure the cortical area corresponding to the small
patch of peripheral anwsthesia. ‘The absence of lasting coma, paralysis, or
obvious injury to the skull make brain injury unlikely; but injury to the
exposed ulnar nerve is natural in such an accident. Fever de to the “shaking up” of the accident would be unlikely to reach 102° four days after.
“Grippe’” should show local lesions (of the respiratory tract or elsewhere), and
rarely causes a fever reaching 102° on the seventh day. ‘This continued fever,
without obvious local lesions, should naturally suggest (as it did here) a Widal
test. This proved positive and the patient went through an attack of typhoid
typical except for the absence of cerebral symptoms or marked prostration.
Prognosis: The mortality is about 10%; the duration, four weeks fever, and six
to twelve months before complete visor is regained. After that the individual
is often stronger than before the fever.
‘Treatment: Bed, hydrotherapy, diet according to digestive power, enemata
every second day when constipation is present. Those who believe that the
heart can be stimulated in typhoid givealcohol, strychnia, and digitalis when
the pulse becomes rapid, weak and irregular. If haemorrhage occur, food
should be greatly restricted. Infusion of salt solution may be necessary.
For perforation immediate laparotomy is usually advised.
pe"
